G228线东厦至陈岱段公路安全提升工程开标记录
开标时间：2025-04-28 07:01信息来源：漳州市公共资源交易中心

开标参与人	漳州市公路事业发展中心云霄分中心,福建安华发展有限公司
开标地点	云霄第一开标室
开标时间	2025-04-28 07:01
开标记录内容	
标段名称：开标内容

开标地点：云霄第一开标室

开标时间：2025-04-27

序号	投标单位名称	项目经理和总工姓名	投标保证金的递交情况	工期	信用分申请使用情况（施工企业）	信用分申请使用情况(项目经理)	信用分申请使用情况(项目总工)	是否申请信用分奖励（施工企业）	是否申请信用分奖励（项目经理）	是否申请信用分奖励（项目总工）	投标总报价(元)	开标备注
1	江西腾鲲建设工程有限公司	李润强、肖亚丹	免缴承诺函已递交	120日历天	/	/	/	否	否	否	6777995	无
2	辽宁新达诚建设发展有限公司	张新、王春吉	本项目免缴	120 日历天	/	/	/	否	否	否	6711700	无
3	安徽中港路桥集团有限公司	项目经理：戚红锋；总工：蔡娟	已递交	120日历天	B	B	B	否	否	否	6689812	无
4	国建中匠建设有限公司	李波	无失信企业免缴	120日历天	/	/	/	否	否	否	6782976	无
5	安徽昌达路桥工程集团有限公司	张海峰、吕林军	免缴	120日历天	/	/	/	否	否	否	6589238	无
6	江西省赣西交通工程建设有限公司	项目经理：刘伟；项目总工：黄俊杰	已递交	120日历天	B	B	B	否	否	否	6654537	无
7	河北标航公路工程有限公司	赵国良和韩小海	免缴投标保证金	120日历天	B	B	B	否	否	否	6748485	无
8	甘肃亿阳建筑工程有限公司	项目经理：王转田、总工：王世宇	已递交	120日历天	/	/	/	否	否	否	6957169	无
9	邯郸市华通公路养护工程有限公司	赵振光、杨超	免缴投标保证金	120日历天	/	/	/	否	否	否	6658821	无
10	四川盛锋建筑工程有限公司	任娟和黄义平	已递交	120日历天	/	/	/	否	否	否	6481054	无
11	河南省同裕路桥工程有限公司	张用全、袁思伟	已递交	计划工期：120 日历天 其它工期要求：/ 计划开工日期：2025-05-06 计划交工日期：2025-09-06	/	/	/	否	否	否	6628567	无
12	辽宁能科建工有限公司	魏培燕；张淑艳	已递交免缴承诺书	120日历天	/	/	/	否	否	否	6704053	无
13	福建省友诚建设有限公司	项目经理：王梅秀；项目总工：陈文宣	已递交无失信记录企业免缴投标保证金承诺函	120日历天	/	/	/	否	否	否	6489466	无
14	四川省威远路桥有限责任公司	项目经理：杨斌、项目总工：付香林	免于收取无失信记录企业投标保证金	120 日历天	/	/	/	否	否	否	6688479	无
15	江西锦帛裕建设有限公司	蔡林、李利群	已递交	120 日历天	/	/	/	否	否	否	6863934	无
16	辽宁嘉派建设有限公司	姜晓秋；李超群	已递交免缴承诺书	120日历天	/	/	/	否	否	否	6770910	无
17	鄂尔多斯市雄辉公路工程有限责任公司	高红红、武强	本项目免缴投标保证金	计划工期：120 日历天	/	/	/	否	否	否	6717221	无
18	江西创明建设工程有限公司	雷燕华、黄美娟	本项目免缴投标保证金	120 日历天	/	/	/	否	否	否	6477231	无
19	郑州新兴市政工程有限公司	项目经理:郑凯丽、项目总工:张明磊	无失信记录企业免缴投标保证金	计划工期：120日历天。其它工期要求：/。计划开工日期：2025-05-06。计划交工日期：2025-09-06	/	/	/	否	否	否	6852710	无
20	鄂尔多斯市金熙建筑装饰工程有限责任公司	张龙、弓鹰	已递交免缴投标保证金承诺函	120 日历天	/	/	/	否	否	否	6591737	无
21	井冈山市博达公路施工有限公司	戴翔/郭洋	已递交	计划工期：120 日历天、其它工期要求：/、计划开工日期：2025-05-06、计划交工日期：2025-09-06	/	/	/	否	否	否	6917392	无
22	沈阳友达道桥公路工程有限责任公司	项目经理：周超、项目总工：庞天竹	免缴保证金	120日历天	B	B	B	否	否	否	6650666	无
23	华跃建工有限公司	刘小刚、李季	已递交	计划工期：120 日历天；其它工期要求：/；计划开工日期：2025-05-06；计划交工日期：2025-09-06	/	/	/	否	否	否	6654519	无
24	辽宁圣德建设工程有限公司	邱晓东、董文辉	已递交（免缴）	120 日历天	B	B	B	否	否	否	6401905	无
25	南昌旭日公路桥梁工程有限公司	张玉明 张跃红	已提交	计划工期：120 日历天 其它工期要求：/ 计划开工日期：2025-05-06 计划交工日期：2025-09-06	/	/	/	否	否	否	6883643	无
26	江西高彩建筑工程有限公司	黄霞、姜钢如	免缴保证金	120日历天	/	B	B	否	否	否	6606469	无
27	四川殷铭建设工程有限公司	董兴亮、杨凡	已递交	120 日历天	B	B	B	否	否	否	6441887	无
28	中虔建设集团有限公司	项目经理：曾祥祺，总工：黄世斌	免缴	120 日历天	/	/	/	否	否	否	6850180	无
29	江西森茂建筑工程有限公司	张云 罗平兰	免缴保证金	120 日历天	B	B	B	否	否	否	6637898	无
30	沐杨建设（辽宁）有限公司	孟丽平/练祉寒	已递交	120 日历天	/	/	/	否	否	否	6715417	无
